STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_DATE,TRAFFIC_OPEN_DATE,YEAR_WIDENED,ORIGINAL_NO_LANES,FINAL_NO_LANES,LANE_ADDED_NO
1,Alabama,0502,1976-06-01,1976-06-01,,,,
1,Alabama,0503,1976-06-01,1976-06-01,,,,
1,Alabama,0504,1976-06-01,1976-06-01,,,,
1,Alabama,0505,1976-06-01,1976-06-01,,,,
1,Alabama,0506,1976-06-01,1976-06-01,,,,
1,Alabama,0507,1976-06-01,1976-06-01,,,,
1,Alabama,0508,1976-06-01,1976-06-01,,,,
1,Alabama,0509,1976-06-01,1976-06-01,,,,
1,Alabama,0563,1976-06-01,1976-06-01,,,,
1,Alabama,0564,1976-06-01,1976-06-01,,,,
1,Alabama,1001,1980-10-01,1980-10-01,,,,
1,Alabama,1011,1985-06-01,1985-06-01,,,,
1,Alabama,1019,1986-10-01,1986-10-01,,,,
1,Alabama,1021,1985-06-01,1985-06-01,,,,
1,Alabama,3028,1971-06-01,1971-06-01,,,,
1,Alabama,3998,1972-10-01,1974-03-01,,,,
1,Alabama,4007,1970-06-01,1970-06-01,,,,
1,Alabama,4073,1988-06-01,1988-06-01,,,,
1,Alabama,4084,1970-06-01,1970-06-01,,,,
1,Alabama,4125,1972-06-01,1972-06-01,,,,
1,Alabama,4126,1988-04-01,1988-04-01,,,,
1,Alabama,4127,1974-08-01,1974-08-01,,,,
1,Alabama,4129,1976-06-01,1976-06-01,,,,
1,Alabama,4155,1975-10-01,1975-10-01,,,,
1,Alabama,5008,1976-09-01,1977-12-01,,,,
1,Alabama,6012,1984-01-01,1984-01-01,,,,
1,Alabama,6019,1981-04-01,1981-04-01,,,,
1,Alabama,A310,1972-06-01,1972-06-01,,,,
1,Alabama,A320,1972-06-01,1972-06-01,,,,
1,Alabama,A330,1972-06-01,1972-06-01,,,,
1,Alabama,A340,1972-06-01,1972-06-01,,,,
1,Alabama,A350,1972-06-01,1972-06-01,,,,
1,Alabama,B310,1986-10-01,1986-10-01,,,,
1,Alabama,B320,1986-10-01,1986-10-01,,,,
1,Alabama,B330,1986-10-01,1986-10-01,,,,
1,Alabama,B340,1986-10-01,1986-10-01,,,,
1,Alabama,B350,1986-10-01,1986-10-01,,,,
1,Alabama,C310,1975-10-01,1975-10-01,,,,
1,Alabama,C320,1975-10-01,1975-10-01,,,,
1,Alabama,C330,1975-10-01,1975-10-01,,,,
1,Alabama,C340,1975-10-01,1975-10-01,,,,
1,Alabama,C350,1975-10-01,1975-10-01,,,,
