STATE_CODE,STATE_CODE_EXP,SHRP_ID,COUNTY,COUNTY_EXP,FUNCTIONAL_CLASS,FUNCTIONAL_CLASS_EXP,ROUTE_NO,ROUTE_SIGNING,ROUTE_SIGNING_EXP,ROUTE_QUALIFIER,ROUTE_QUALIFIER_EXP,ALT_ROUTE_NAME,NO_OF_LANES,MILEPOINT,LOCATION_INFO
1,Alabama,0502,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,STARTS AT CO. RD. 9 AND EASTWARD 500'.
1,Alabama,0503,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,STARTS AT CO. RD. 9 AND EASTWARD 500'.
1,Alabama,0504,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,STARTS AT CO. RD. 9 AND EASTWARD 500'.
1,Alabama,0505,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,STARTS AT CO. RD. 9 AND EASTWARD 500'.
1,Alabama,0506,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,STARTS AT CO. RD. 9 AND EASTWARD 500'.
1,Alabama,0507,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,STARTS AT CO. RD. 9 AND EASTWARD 500'.
1,Alabama,0508,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,STARTS AT CO. RD. 9 AND EASTWARD 500'.
1,Alabama,0509,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,STARTS AT CO. RD. 9 AND EASTWARD 500'.
1,Alabama,0563,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,STARTS AT CO. RD. 9 AND EASTWARD 500'.
1,Alabama,0564,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,STARTS AT CO. RD. 9 AND EASTWARD 500'.
1,Alabama,1001,81,LEE,2,Rural Principal Arterial - Other,431,3,U.S.,,,,2,122.5,"PN F-422(14), STA 1074-1069.  Approx 2.2 Miles West of Lee/Russell Co. Line, 3.3 Miles West of Phenix City City Limit."
1,Alabama,1011,77,LAUDERDALE,6,Rural Minor Arterial,20,4,State,,,,1,9.4,"sta 522+40 to sta 517+40, app. 6.1 m NW of Florence CL, 1.6 m SE of Natchez Trc Pkwy P#OLB-039020005"
1,Alabama,1019,129,WASHINGTON,2,Rural Principal Arterial - Other,43,3,U.S.,,,,2,47.7,"PN F-98(21).  STA 739+20-734+20.  Approx 0.93 Miles North of Lewis Creek Bridge, and 5.5 Miles North of McIntosh City Limits."
1,Alabama,1021,51,ELMORE,6,Rural Minor Arterial,14,4,State,,,,1,173.24,"sta 308+21 to 313+21. Wetumpka Bypass. T.S. begins 0.74 m W of US231, 0.32 m W of W end of Coosa Riv"
1,Alabama,3028,73,JEFFERSON,11,Urban Principal Arterial - Interstate,59,2,Interstate,,,,2,138.1,"PN I-59-2(41)137.  STA 110-115, Begins Approx 1.0 Mile North of I459 Interchange."
1,Alabama,3998,119,SUMTER,1,Rural Principal Arterial - Interstate,20,2,Interstate,,,,2,25.7,PN I-59-1(58)22.  STA 368-363.  Approx 1.2 Miles West of Tenn-Tom Bridge.
1,Alabama,4007,73,JEFFERSON,11,Urban Principal Arterial - Interstate,59,2,Interstate,,,,2,135.7,"PN I-59-1(39)133.  STA 401+80-406+80. Approx 620' North ofWillow Lane, 0.95 Miles North of Esplanade Drive(Interchange)."
1,Alabama,4073,71,JACKSON,2,Rural Principal Arterial - Other,72,3,U.S.,,,,2,148.2,sta 325+00 to 330+00.  Between County Rd. 50 and Mud Creek - Project # APD-37(12)
1,Alabama,4084,73,JEFFERSON,11,Urban Principal Arterial - Interstate,59,2,Interstate,,,,2,117.4,"sta 103+00 to 108+00, project I-59-1(21)116; Jefferson Co.; 300 ft. N of Highline Track bridge for"
1,Alabama,4125,101,MONTGOMERY,14,Urban Other Principal Arterial,152,4,State,,,,2,19.31,"PNo. U-UG-352(21)(24), ""Northern Bypass,"" Montgomery.  T.S. begins approx 0.9 mi W of US 231 and 5.6 mi. E of I65.  SPS-3 site 01A3 is on the same project."
1,Alabama,4126,43,CULLMAN,1,Rural Principal Arterial - Interstate,65,2,Interstate,,,,2,308.89,sta 520 to 525.  T.S. begins 2.18 m S of AL157 and .8 m N of US278. Proj. # IR-65-3(117) & (27)
1,Alabama,4127,77,LAUDERDALE,2,Rural Principal Arterial - Other,72,3,U.S.,,,,2,52.2,Sta 753+10 to 758+10.  T.S. begins .4 m E of Second Crk bridge and 1.5 m E of AL101. Proj # RF-66(8)
1,Alabama,4129,37,COOSA,2,Rural Principal Arterial - Other,280,3,U.S.,,,,2,53.5,"sta 388 - 393.TS begins .41 m E of Co Rd 49 & 2.42 m W of AL9. Proj# FF-404(7),+19-004-001-038-912."
1,Alabama,4155,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,"PNo. DP-370(9), W. of Dothan.  T.S. begins imm. E of County Rd. 9, approx. 3.6 mi E of AL 123, and 9 mi W of AL 210.  SPS-3 site 01C3 is on same project"
1,Alabama,5008,29,CLEBURNE,1,Rural Principal Arterial - Interstate,20,2,Interstate,,,,2,212.35,"PN I-20-1(43)176.  STA 736+40-741+40. Approx 2.6 Miles West of GA Border, 700' West of Co. Rd. 66."
1,Alabama,6012,125,TUSCALOOSA,1,Rural Principal Arterial - Interstate,20,2,Interstate,,,,2,65.7,"PN I-59-1(32)65(original construction) STA 143+75-148+75. Approx 1.34 Mi NE of Black Warrior River, 220' NE of 4th Bridge. Approx 4.2 Mi SW of Tuscaloosa City L"
1,Alabama,6019,3,BALDWIN,1,Rural Principal Arterial - Interstate,65,2,Interstate,,,,2,41.8,"PN I-65-1(35)36.  STA 1086-1091.  Approx 3.9 Miles North of Co.Rd.47(Jack Springs Rd.), 1.1 Miles North of Bridge (Dyas Creek)."
1,Alabama,A310,101,MONTGOMERY,14,Urban Other Principal Arterial,152,4,State,,,,2,19.31,"PNo. U-UG-352(21)(24), ""Northern Bypass,"" Montgomery.  T.S. begins approx 0.9 mi W of US 231 and 5.6 mi. E of I65.  SPS-3 site 01A3 is on the same project."
1,Alabama,A320,101,MONTGOMERY,14,Urban Other Principal Arterial,152,4,State,,,,2,19.31,"PNo. U-UG-352(21)(24), ""Northern Bypass,"" Montgomery.  T.S. begins approx 0.9 mi W of US 231 and 5.6 mi. E of I65.  SPS-3 site 01A3 is on the same project."
1,Alabama,A330,101,MONTGOMERY,14,Urban Other Principal Arterial,152,4,State,,,,2,19.31,"PNo. U-UG-352(21)(24), ""Northern Bypass,"" Montgomery.  T.S. begins approx 0.9 mi W of US 231 and 5.6 mi. E of I65.  SPS-3 site 01A3 is on the same project."
1,Alabama,A340,101,MONTGOMERY,14,Urban Other Principal Arterial,152,4,State,,,,2,19.31,"PNo. U-UG-352(21)(24), ""Northern Bypass,"" Montgomery.  T.S. begins approx 0.9 mi W of US 231 and 5.6 mi. E of I65.  SPS-3 site 01A3 is on the same project."
1,Alabama,A350,101,MONTGOMERY,14,Urban Other Principal Arterial,152,4,State,,,,2,19.31,"PNo. U-UG-352(21)(24), ""Northern Bypass,"" Montgomery.  T.S. begins approx 0.9 mi W of US 231 and 5.6 mi. E of I65.  SPS-3 site 01A3 is on the same project."
