STATE_CODE,STATE_CODE_EXP,SHRP_ID,START_DATE,RECORD_STATUS,END_DATE,VOLUME_SITE,CLASS_SITE,WIM_SITE,ID3,ID6,LTPP_DIR,LTPP_DIR_EXP,LTPP_LANE,LANES_LTPP_DIR,LANES_NON_LTPP_DIR,SRO_CLASS,SRO_CLASS_EXP,SRO_WEIGHT_EXP,SRO_WEIGHT,DATA_AVAILABILITY,DATA_AVAILABILITY_EXP,FUNC_CLASS,FUNC_CLASS_EXP,COMMENTS,CARD4INFO,CARD4INFO_EXP,CARDCINFO_EXP,CARDCINFO,ERR_1AM1PM,ERR_8ZERO,ERR_4STATIC,LTPP_LN_ONLY,USEFILENAME,UPDATE_LNDIR,LOAD_LN,LOAD_DIR_EXP,LOAD_DIR,LOAD_HOURS
1,Alabama,0502,1990-01-01,E,2050-12-31,,4155,4155,906,,3,East,1,2,2,R,"Site related equipment, same road, different location","Site related equipment, same road, different location",R,1.0,Limited data for either vehicle classification or truck weights,2,Rural Principal Arterial - Other,"SHRP.DAT date  was 1-JAN-1993All data, all sites -- data beyond column 51 is invalid.",I,Ignore,Ignore,I,Y,Y,Y,N,Y,N,1,East,3,N
1,Alabama,0503,1990-01-01,E,2050-12-31,,4155,4155,906,,3,East,1,2,2,R,"Site related equipment, same road, different location","Site related equipment, same road, different location",R,1.0,Limited data for either vehicle classification or truck weights,2,Rural Principal Arterial - Other,"SHRP.DAT date  was 1-JAN-1993All data, all sites -- data beyond column 51 is invalid.",I,Ignore,Ignore,I,Y,Y,Y,N,Y,N,1,East,3,N
1,Alabama,0504,1990-01-01,E,2050-12-31,,4155,4155,906,,3,East,1,2,2,R,"Site related equipment, same road, different location","Site related equipment, same road, different location",R,1.0,Limited data for either vehicle classification or truck weights,2,Rural Principal Arterial - Other,"SHRP.DAT date  was 1-JAN-1993All data, all sites -- data beyond column 51 is invalid.",I,Ignore,Ignore,I,Y,Y,Y,N,Y,N,1,East,3,N
1,Alabama,0505,1990-01-01,E,2050-12-31,,4155,4155,906,,3,East,1,2,2,R,"Site related equipment, same road, different location","Site related equipment, same road, different location",R,1.0,Limited data for either vehicle classification or truck weights,2,Rural Principal Arterial - Other,"SHRP.DAT date  was 1-JAN-1993All data, all sites -- data beyond column 51 is invalid.",I,Ignore,Ignore,I,Y,Y,Y,N,Y,N,1,East,3,N
1,Alabama,0506,1990-01-01,E,2050-12-31,,4155,4155,906,,3,East,1,2,2,R,"Site related equipment, same road, different location","Site related equipment, same road, different location",R,1.0,Limited data for either vehicle classification or truck weights,2,Rural Principal Arterial - Other,"SHRP.DAT date  was 1-JAN-1993All data, all sites -- data beyond column 51 is invalid.",I,Ignore,Ignore,I,Y,Y,Y,N,Y,N,1,East,3,N
1,Alabama,0507,1990-01-01,E,2050-12-31,,4155,4155,906,,3,East,1,2,2,R,"Site related equipment, same road, different location","Site related equipment, same road, different location",R,1.0,Limited data for either vehicle classification or truck weights,2,Rural Principal Arterial - Other,"SHRP.DAT date  was 1-JAN-1993All data, all sites -- data beyond column 51 is invalid.",I,Ignore,Ignore,I,Y,Y,Y,N,Y,N,1,East,3,N
1,Alabama,0508,1990-01-01,E,2050-12-31,,4155,4155,906,,3,East,1,2,2,R,"Site related equipment, same road, different location","Site related equipment, same road, different location",R,1.0,Limited data for either vehicle classification or truck weights,2,Rural Principal Arterial - Other,"SHRP.DAT date  was 1-JAN-1993All data, all sites -- data beyond column 51 is invalid.",I,Ignore,Ignore,I,Y,Y,Y,N,Y,N,1,East,3,N
1,Alabama,0509,1990-01-01,E,2050-12-31,,4155,4155,906,,3,East,1,2,2,R,"Site related equipment, same road, different location","Site related equipment, same road, different location",R,1.0,Limited data for either vehicle classification or truck weights,2,Rural Principal Arterial - Other,"SHRP.DAT date  was 1-JAN-1993All data, all sites -- data beyond column 51 is invalid.",I,Ignore,Ignore,I,Y,Y,Y,N,Y,N,1,East,3,N
1,Alabama,0563,1990-01-01,E,2050-12-31,,4155,4155,906,,3,East,1,2,2,R,"Site related equipment, same road, different location","Site related equipment, same road, different location",R,1.0,Limited data for either vehicle classification or truck weights,2,Rural Principal Arterial - Other,"SHRP.DAT date  was 1-JAN-1993All data, all sites -- data beyond column 51 is invalid.",I,Ignore,Ignore,I,Y,Y,Y,N,Y,N,1,East,3,N
1,Alabama,0564,1990-01-01,E,2050-12-31,,4155,4155,906,,3,East,1,2,2,R,"Site related equipment, same road, different location","Site related equipment, same road, different location",R,1.0,Limited data for either vehicle classification or truck weights,2,Rural Principal Arterial - Other,"SHRP.DAT date  was 1-JAN-1993All data, all sites -- data beyond column 51 is invalid.",I,Ignore,Ignore,I,Y,Y,Y,N,Y,N,1,East,3,N
