STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,ANNUAL_ESAL_TREND,ANNUAL_GESAL_TREND
1,Alabama,0502,1,1975,0,0
1,Alabama,0502,2,2017,128721,139016
1,Alabama,0502,1,2017,128721,139016
1,Alabama,0502,1,2016,127225,137387
1,Alabama,0502,2,2016,127225,137387
1,Alabama,0502,1,2015,125034,135007
1,Alabama,0502,2,2015,125034,135007
1,Alabama,0502,2,2008,111008,119861
1,Alabama,0502,1,2008,111008,119861
1,Alabama,0502,2,2013,121231,130906
1,Alabama,0502,1,2013,121231,130906
1,Alabama,0502,2,2010,115333,124527
1,Alabama,0502,1,2010,115333,124527
1,Alabama,0502,2,2011,117198,126558
1,Alabama,0502,1,2011,117198,126558
1,Alabama,0502,2,2014,123074,132910
1,Alabama,0502,1,2014,123074,132910
1,Alabama,0502,1,2012,119715,129254
1,Alabama,0502,2,2012,119715,129254
1,Alabama,0502,1,2009,112241,121206
1,Alabama,0502,2,2009,112241,121206
1,Alabama,0502,2,2005,104700,113041
1,Alabama,0502,1,2005,104700,113041
1,Alabama,0502,2,2007,108555,117197
1,Alabama,0502,1,2007,108555,117197
1,Alabama,0502,2,2004,102791,111001
1,Alabama,0502,1,2004,102791,111001
1,Alabama,0502,2,2003,101025,109080
1,Alabama,0502,1,2003,101025,109080
1,Alabama,0502,2,2006,106671,115186
1,Alabama,0502,1,2006,106671,115186
1,Alabama,0502,2,2002,99181,107076
1,Alabama,0502,1,2002,99181,107076
1,Alabama,0502,2,2000,95325,102927
1,Alabama,0502,1,2000,95325,102927
1,Alabama,0502,2,2001,96656,104378
1,Alabama,0502,1,2001,96656,104378
1,Alabama,0502,1,1997,91009,98272
1,Alabama,0502,2,1997,91009,98272
1,Alabama,0502,2,1996,89030,96117
1,Alabama,0502,1,1996,89030,96117
1,Alabama,0502,1,1999,96276,103965
1,Alabama,0502,2,1999,96276,103965
1,Alabama,0502,1,1998,94031,101521
1,Alabama,0502,2,1998,94031,101521
1,Alabama,0502,2,1994,54000,49136
1,Alabama,0502,1,1994,54000,49136
1,Alabama,0502,1,1992,78986,85279
1,Alabama,0502,2,1992,78986,85279
1,Alabama,0502,1,1991,76486,82596
1,Alabama,0502,2,1991,76486,2942
1,Alabama,0502,2,1995,86122,92991
1,Alabama,0502,1,1995,86122,92991
1,Alabama,0502,2,1993,80994,87463
1,Alabama,0502,1,1993,80994,87463
1,Alabama,0502,1,1984,65379,70591
1,Alabama,0502,1,1985,66032,71304
1,Alabama,0502,1,1982,45884,49549
1,Alabama,0502,1,1986,74263,80178
1,Alabama,0502,1,1990,74642,80591
1,Alabama,0502,1,1988,88682,95777
1,Alabama,0502,1,1987,82837,89467
1,Alabama,0502,1,1983,49180,53097
1,Alabama,0502,1,1989,92495,99889
1,Alabama,0502,1,1980,55292,59695
1,Alabama,0502,1,1979,55615,60051
1,Alabama,0502,1,1976,46010,29050
1,Alabama,0502,1,1978,55520,59944
1,Alabama,0502,1,1981,55141,59531
1,Alabama,0502,1,1977,47348,51140
1,Alabama,0503,1,1975,0,0
1,Alabama,0503,2,2017,122403,139016
1,Alabama,0503,1,2017,122403,139016
1,Alabama,0503,1,2016,120981,137387
1,Alabama,0503,2,2016,120981,137387
1,Alabama,0503,1,2015,118899,135007
1,Alabama,0503,2,2015,118899,135007
1,Alabama,0503,2,2008,105562,119861
1,Alabama,0503,1,2008,105562,119861
1,Alabama,0503,1,2013,115278,130906
1,Alabama,0503,2,2013,115278,130906
1,Alabama,0503,1,2010,109668,124527
1,Alabama,0503,2,2010,109668,124527
1,Alabama,0503,1,2011,111442,126558
1,Alabama,0503,2,2011,111442,126558
1,Alabama,0503,1,2012,113837,129254
1,Alabama,0503,2,2012,113837,129254
1,Alabama,0503,1,2007,103229,117197
1,Alabama,0503,2,2007,103229,117197
1,Alabama,0503,2,2009,106733,121206
1,Alabama,0503,1,2009,106733,121206
1,Alabama,0503,2,2014,117030,132910
1,Alabama,0503,1,2014,117030,132910
1,Alabama,0503,2,2004,97744,111001
